tgin,hgin,tgout,hgout,ph,tliq,co2in,co2out,dp,vg,dustrak,cmd,nc,mass,ambpm,driftmgkg,loading,co2diff,fliq,packing,medium,disb,device,driftmgkg2
18.4,86.4,19.3,87.4,10.69,19.4,386,323,1,6,0.026,52,6950,11.9,0.004,0.0234,high,63,40,fill_block_o,taurate,hc,ct,0.000585
17.6,86.4,18.4,88.4,10.71,18.6,388,343,2,12,0.017,54,2180,4.39,0.004,0.0306,high,45,40,fill_block_o,taurate,hc,ct,0.000765
17.7,87.1,18.8,89.2,10.72,17.8,385,352,4,18,0.005,50,2240,3.34,0.004,0.0135,high,33,40,fill_block_o,taurate,hc,ct,0.0003375
17.6,84.3,17.5,88.8,10.72,17.6,384,356,5,24,0.005,53,2780,5.85,0.004,0.018,high,28,40,fill_block_o,taurate,hc,ct,0.00045
30.1,56.1,26.3,84.7,13.35,26.1,398,336,0.3,6,0.032511568,48.18452,16134.399,10.617351,0.004,0.029260411,medium,62,5,fill_block_o,taurate,hc,ct,0.005852082
31.2,55.5,26.3,87,13.36,25.7,396,316,0.3,6,0.032511568,48.18452,16134.399,10.617351,0.004,0.029260411,medium,80,10,fill_block_o,taurate,hc,ct,0.002926041
31.2,55.5,26.3,87,13.36,25.7,395,328,0.3,6,0.032511568,48.18452,16134.399,10.617351,0.004,0.029260411,medium,67,10,fill_block_o,taurate,hc,ct,0.002926041
31.2,55.5,26.3,87,13.36,25.7,393,321,0.3,6,0.032511568,48.18452,16134.399,10.617351,0.004,0.029260411,medium,72,10,fill_block_o,taurate,hc,ct,0.002926041
31.2,55.5,26.3,87,13.36,25.7,392,329,0.3,6,0.032511568,48.18452,16134.399,10.617351,0.004,0.029260411,medium,63,40,fill_block_o,taurate,hc,ct,0.00073151
31.2,55.5,26.3,87,13.36,25.7,389,302,0.3,6,0.032511568,48.18452,6218.076,9.973635,0.004,0.029260411,medium,87,40,fill_block_o,taurate,hc,ct,0.00073151
31.2,55.5,26.3,87,13.36,25.7,389,349,0.3,6,0.030847832,48.18452,6218.076,8.678187,0.004,0.027763049,medium,40,5,fill_block_o,taurate,hc,ct,0.00555261
29.1,48.3,24.4,80.1,12.95,23.4,384,298,0.7,6,0.032511568,58,8290,7.9,0.004,0.029260411,medium,86,55,fill_block_n,taurate,hc,ct,0.000532007
29,48.1,23.9,82,12.97,22.8,384,299,0.7,6,0.032511568,63,9470,9.19,0.004,0.029260411,medium,85,40,fill_block_n,taurate,hc,ct,0.00073151
29.1,50.4,23.6,82.4,12.97,22.6,381,321,0.5,6,0.032511568,49,5390,4.21,0.004,0.029260411,medium,60,30,fill_block_n,taurate,hc,ct,0.000975347
23.5,52,29.1,84.2,12.97,22.6,383,327,1,9,0.027409371,48,2300,2.56,0.004,0.037002651,medium,56,30,fill_block_n,taurate,hc,ct,0.001233422
29.1,51,24.2,84.2,12.97,22.7,384,277,0.4,4,0.032511568,52,6010,5.37,0.004,0.019506941,medium,107,30,fill_block_n,taurate,hc,ct,0.000650231
24.4,76.5,23,89,12.65,23.4,385,314,0.3,6,0.027409371,43,2460,3.45,0.002,0.024668434,medium,71,10,fill_block_n,taurate,sp_3arm,ct,0.002466843
24.7,74.7,22.9,90.8,12.67,22.7,383,328,0.7,9,0.027409371,57,3130,7.83,0.002,0.037002651,medium,55,10,fill_block_n,taurate,sp_3arm,ct,0.003700265
24.9,74.5,23.2,90.3,12.67,22.5,383,286,0.2,4,0.027409371,44,2100,6.83,0.002,0.016445623,medium,97,10,fill_block_n,taurate,sp_3arm,ct,0.001644562
25.3,72.2,22.8,90.7,12.68,22.3,385,323,0.3,6,0.027409371,49,1410,3.9,0.002,0.024668434,medium,62,5,fill_block_n,taurate,sp_3arm,ct,0.004933687
25.4,72.4,22.9,90.6,12.3,22.3,384,294,0.3,6,0.027409371,46,1670,3.98,0.002,0.024668434,medium,90,10,fill_block_n,taurate,sp_3arm,ct,0.002466843
27.8,63.4,24.4,86.6,12.58,23.6,385,323,0.4,6,0.030351129,90,4080,13.8,0.002,0.027316016,medium,62,10,fill_block_n,taurate,sp_3arm,ct,0.002731602
28.2,60.7,23.8,88.5,12.59,23.3,380,342,0.9,12,0.021497314,53.4,8240,78.8,0.002,0.038695165,medium,38,10,fill_block_n,taurate,sp_3arm,ct,0.003869517
28.2,60.5,23.8,87.8,12.59,23.2,380,356,1.8,18,0.019167643,68,4900,47.7,0.002,0.051752636,medium,24,10,fill_block_n,taurate,sp_3arm,ct,0.005175264
28.2,60.1,23.7,87.7,12.6,23.2,382,357,1.8,18,0.019167643,70,5310,10.6,0.002,0.051752636,medium,25,55,fill_block_n,taurate,sp_3arm,ct,0.000940957
28.2,59.8,23.8,88.2,12.6,23.1,382,347,0.9,12,0.019336874,64,3460,7.13,0.002,0.034806373,medium,35,55,fill_block_n,taurate,sp_3arm,ct,0.000632843
28.3,58,23.8,87.6,12.6,23,383,330,0.4,6,0.030351129,68,3140,5.69,0.002,0.027316016,medium,53,55,fill_block_n,taurate,sp_3arm,ct,0.000496655
28.4,57,23.5,87,12.6,23,385,337,0.4,6,0.030351129,56,1740,3.4,0.002,0.027316016,medium,48,5,fill_block_n,taurate,sp_3arm,ct,0.005463203
28.4,54.3,23.5,84.3,12.61,22.9,386,360,0.6,9,0.030847832,57,5860,7.24,0.002,0.041644573,medium,26,3,fill_block_n,taurate,sp_3arm,ct,0.013881524
27.1,51.4,23.5,83.3,12.61,22.7,387,355,0.4,6,0.028687393,57,4560,5.79,0.002,0.025818654,medium,32,3,fill_block_n,taurate,sp_3arm,ct,0.008606218
23.2,56.3,21.3,72.8,10.02,21,387,353,0.2,6,0.027888492,45,849.6,1.75,0.003,0.025099643,medium,34,3,fill_block_n,taurate,sp_3arm,ct,0.008366548
23.5,55.4,20.9,75.3,10.03,20.2,387,343,0.2,6,0.027409371,36,820.8,1.47,0.003,0.024668434,medium,44,5,fill_block_n,taurate,sp_3arm,ct,0.004933687
24.3,54.4,20.7,87.9,10.03,19.8,391,341,0.2,6,0.027409371,34,1660,2.38,0.003,0.024668434,medium,55,5,fill_block_n,taurate,sp_3arm,ct,0.004933687
24.5,57.6,21,79,10.03,19.8,384,315,0.1,4,0.027409371,46,658.7,1.71,0.003,0.016445623,medium,69,5,fill_block_n,taurate,sp_3arm,ct,0.003289125
23.8,58.6,20.6,79.6,10.02,19.8,388,342,0.8,12,0.018058852,54,446.7,1.43,0.003,0.032505934,medium,46,5,fill_block_n,taurate,sp_3arm,ct,0.006501187
23,60,20.6,78.4,10.02,19.6,384,356,1.7,18,0.014065446,55,477.9,1.6,0.003,0.037976704,medium,28,5,fill_block_n,taurate,sp_3arm,ct,0.007595341
23.1,61.9,20.6,78.6,10.02,19.7,396,366,3.4,24,0.014065446,66,539.4,1.64,0.003,0.050635606,medium,30,5,fill_block_n,taurate,sp_3arm,ct,0.010127121
25.3,61.1,22.5,72.7,9.82,22.1,387,357,0.1,6,0.027888492,60,855.6,2.11,0.003,0.025099643,high,30,3,fill_block_n,taurate,sp_3arm,ct,0.008366548
25.6,60,22.7,79,9.81,21.9,390,357,0.3,6,0.025745634,57,583.4,1.22,0.003,0.023171071,high,33,5,fill_block_n,taurate,sp_3arm,ct,0.004634214
25.6,59.3,22.6,81,9.8,21.8,386,347,0.3,6,0.025745634,33,1760,1.95,0.003,0.023171071,high,39,5,fill_block_n,taurate,sp_3arm,ct,0.004634214
26.1,57.5,22.8,80.3,9.81,21.8,386,328,0.2,4,0.027409371,179,4210,84.1,0.003,0.016445623,high,58,5,fill_block_n,taurate,sp_3arm,ct,0.003289125
26.7,57.3,22.8,80,9.81,21.8,388,356,1,12,0.019336874,94,2300,28.9,0.003,0.034806373,high,32,5,fill_block_n,taurate,sp_3arm,ct,0.006961275
26,58.6,23,78.1,9.81,21.9,390,363,2,18,0.014065446,33,962.6,2.2,0.003,0.037976704,high,27,5,fill_block_n,taurate,sp_3arm,ct,0.007595341
25.5,63.9,23.1,78.9,9.81,21.9,386,368,3.3,24,0.014065446,34,1260,1.77,0.003,0.050635606,high,18,5,fill_block_n,taurate,sp_3arm,ct,0.010127121
24.6,77.6,24.7,86,10.03,31.2,395,339,0.2,6,0.027409371,68,1930,3.67,0.003,0.024668434,low,56,3,fill_block_n,taurate,sp_3arm,ct,0.008222811
25.3,74.1,25,84.6,10.08,29.3,386,336,0.2,6,0.027409371,76,4370,7.34,0.003,0.024668434,low,55,5,fill_block_n,taurate,sp_3arm,ct,0.004933687
25.2,72.8,25,86.1,10.12,27.6,386,320,0.3,6,0.027409371,73,4110,6.94,0.003,0.024668434,low,66,5,fill_block_n,taurate,sp_3arm,ct,0.004933687
25.5,73.1,25.1,85.1,10.15,26.7,386,299,0.1,4,0.027409371,72,2720,5.31,0.003,0.016445623,low,87,5,fill_block_n,taurate,sp_3arm,ct,0.003289125
25.6,74.1,24.3,84.1,10.17,25.4,384,343,1,12,0.016395116,61,1300,2.62,0.003,0.029511209,low,41,5,fill_block_n,taurate,sp_3arm,ct,0.005902242
25.5,73.4,24,84.4,10.19,24.8,385,343,1.9,18,0.014065446,56,878,1.82,0.003,0.037976704,low,42,5,fill_block_n,taurate,sp_3arm,ct,0.007595341
25.5,72.7,23.9,84.2,10.19,24.4,389,352,3.1,24,0.014065446,46,951.5,1.71,0.003,0.050635606,low,37,5,fill_block_n,taurate,sp_3arm,ct,0.010127121
28.2,50.3,23.9,76.5,12.26,22.4,390,339,0.2,6,0.032511568,85,5970,20.8,0.003,0.029260411,low,51,5,fill_block_n,taurate,fc,ct,0.005852082
28.4,47.8,23.4,76.4,12.3,22.3,390,320,0.3,6,0.032511568,104,6630,32.9,0.003,0.029260411,low,70,5,fill_block_n,taurate,fc,ct,0.005852082
28.7,45.6,23.7,75.7,12.31,22.3,390,319,0.3,6,0.032511568,91,6920,35.6,0.003,0.029260411,low,71,5,fill_block_n,taurate,fc,ct,0.005852082
28.2,47,23.5,73.9,12.32,22.2,389,298,0.1,4,0.032511568,110,5820,34.4,0.003,0.019506941,low,91,5,fill_block_n,taurate,fc,ct,0.003901388
28.4,48.1,23.4,74.2,12.34,22.1,390,339,1,12,0.02316105,85,5350,21.2,0.003,0.04168989,low,51,5,fill_block_n,taurate,fc,ct,0.008337978
28.8,42.2,23,74.2,12.34,22.1,393,351,1.8,18,0.019167643,101,4990,19.6,0.003,0.051752636,low,42,5,fill_block_n,taurate,fc,ct,0.010350527
28.8,42.9,23.2,72.2,12.34,21.9,387,350,1.8,24,0.019150061,99,3470,15.2,0.003,0.06894022,low,37,5,fill_block_n,taurate,fc,ct,0.013788044
